article name	author	% '.'	% ','	% '?'	% ':'	% ';'	% ' '	% '!'	% '-'	% '_'	% '('	% '"'	% '/'	sentences-to-words ratio	avg. sentence length	%" "	%"\n"	%"the"	%"and"	%"'"	%"of"	%"to"	%"-"	%"a"	%"in"	%"i"	%"""	%"that"	%"he"	%"it"	%"wa"	%"hi"	%"you"	%"with"	%"for"	%"as"	%"is"	%"+"	%"but"	%"her"	%"be"	%"not"	%"had"	%"my"	%"s"	%"at"	%"on"	%"thi"	%"she"	%"all"	%"have"	%"him"	%"they"	%"me"	%"by"	%"so"	%"which"	%"we"	%"from"	%"one"	%"no"	%""	%"were"	%"or"	%"are"
The Works of Wi_9.txt	Shakespeare	0.07952973720608575	0.013831258644536652	0.002074688796680498	0	0.0027662517289073307	0	0.002074688796680498	0	0.004149377593360996	0.006915629322268326	0	0	0.07519280205655526	25.34188034188034	880	2	0	2	18	0	3	4	3	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0
A Double Barrel_14.txt	Twain	0.022317596566523604	0.04206008583690987	0.0034334763948497852	0.0017167381974248926	0.006008583690987125	0	0.007725321888412017	0	0	0	0	0	0.023696682464454975	73.425	936	82	32	13	46	6	12	32	19	11	6	30	6	13	8	9	6	16	5	6	2	1	0	3	0	5	2	3	2	8	3	1	0	0	3	0	7	4	1	6	1	1	0	1	2	1	0	2	2	0
The Life and Ad_19.txt	Defoe	0.0067226890756302525	0.047058823529411764	0	0.0016806722689075631	0.011764705882352941	0	0.0008403361344537816	0	0	0	0	0	0.0051813471502590676	323.6666666666667	1062	88	21	28	6	20	25	2	13	13	30	0	6	2	2	8	3	0	5	10	13	1	0	6	0	3	1	11	13	3	2	4	3	0	2	4	2	2	8	1	1	6	5	2	1	2	0	0	1	0
The Reef_11.txt	Wharton	0.010999083409715857	0.02841429880843263	0	0.0018331805682859762	0.002749770852428964	0	0	0	0	0.0018331805682859762	0	0	0.011235955056179775	169.05555555555554	910	86	32	15	24	23	15	14	19	5	5	30	4	1	5	2	1	0	10	7	5	0	0	3	8	2	2	9	0	7	3	4	1	7	1	0	3	1	4	0	0	2	0	5	1	0	0	3	2	0
Titus Andronicu_7.txt	Shakespeare	0.01863799283154122	0.05878136200716846	0.005734767025089606	0.004301075268817204	0.0007168458781362007	0	0	0	0	0	0	0	0.017421602787456445	107.31428571428572	1168	156	14	24	12	11	15	4	8	8	6	0	5	0	5	1	4	9	4	4	6	5	0	1	6	8	5	6	12	0	1	1	16	1	3	0	3	9	11	1	3	2	2	3	0	5	0	0	4	5
The Jacket The_11.txt	London	0.020851433536055605	0.035621198957428324	0.0017376194613379669	0	0.004344048653344918	0	0	0	0	0	0	0	0.015587529976019185	116.38461538461539	1000	90	28	31	2	17	11	18	11	14	13	2	6	4	11	15	1	4	11	5	1	1	0	2	0	1	4	4	9	1	2	4	1	0	4	2	1	1	7	1	2	2	0	2	8	1	0	2	5	2
A Dolls House_14.txt	Ibsen	0.04524469067405355	0.0221606648199446	0.012003693444136657	0	0.003693444136657433	0	0.0009233610341643582	0	0.0018467220683287165	0.002770083102493075	0	0	0.04038461538461539	41.98412698412698	916	94	16	11	14	16	17	6	14	7	11	0	14	7	11	3	7	10	4	1	5	10	0	3	2	2	2	1	4	4	1	1	3	0	2	3	2	0	7	3	4	0	1	0	1	2	0	0	1	1
Othello_12.txt	Shakespeare	0.04222048475371384	0.03831118060985145	0.003127443315089914	0.008600469116497263	0.001563721657544957	0	0	0	0	0.0007818608287724785	0	0	0.03254769921436588	56.43103448275862	1036	116	18	19	30	16	24	4	9	4	10	0	8	4	7	2	4	5	8	5	2	7	0	6	2	2	8	0	5	6	1	0	4	6	1	0	2	4	5	0	1	1	1	1	3	0	0	0	0	5
John Gabriel Bo_8.txt	Ibsen	0.05309033280507131	0.03169572107765452	0.00792393026941363	0	0.002377179080824089	0	0.00792393026941363	0	0	0	0	0	0.0710172744721689	25.243243243243242	884	90	15	8	20	3	15	12	4	7	13	0	4	7	5	2	4	18	9	4	0	9	0	3	6	1	2	1	7	3	6	2	4	0	0	4	4	3	2	2	0	0	5	1	1	3	0	1	0	3
King Henry the_7.txt	Shakespeare	0.01200960768614892	0.04483586869495596	0	0.0040032025620496394	0.010408326661329063	0	0.0032025620496397116	0	0.0040032025620496394	0.004803843074459567	0	0	0.011889862327909888	166.68421052631578	992	30	37	19	14	26	13	10	9	8	1	0	4	5	0	6	3	4	5	4	1	5	2	3	1	1	2	0	1	4	0	3	6	0	3	2	1	1	0	3	0	4	5	3	2	2	0	2	1	3
A Tangled Tale_12.txt	Carroll	0.029259896729776247	0.02667814113597246	0.0025817555938037868	0.0025817555938037868	0.0008605851979345956	0	0.00946643717728055	0	0	0	0	0	0.029055690072639227	62.291666666666664	942	74	44	14	10	9	14	30	5	15	1	46	2	13	4	4	11	1	3	2	4	10	0	2	4	3	2	2	1	2	1	3	1	4	2	2	1	6	1	0	3	0	3	2	5	1	0	0	0	4
Pillars of Soci_4.txt	Ibsen	0.026737967914438502	0.034759358288770054	0.011586452762923352	0.024955436720142603	0.00267379679144385	0	0.0035650623885918	0	0	0.0017825311942959	0	0	0.030012771392081736	56.06382978723404	916	96	11	7	10	6	18	16	10	4	19	2	12	2	16	0	1	27	2	4	4	14	0	3	0	12	4	0	6	3	1	2	0	1	1	2	0	1	9	2	4	0	2	2	3	6	0	3	3	3
The Complete En_11.txt	Defoe	0.009523809523809525	0.05047619047619047	0	0.0019047619047619048	0.012380952380952381	0	0	0	0	0	0	0	0.006561679790026247	281.9	906	88	38	26	14	14	18	6	7	11	8	0	2	5	1	0	17	2	2	6	4	11	0	0	0	3	2	0	4	4	1	4	5	0	1	3	2	4	1	2	2	2	0	1	1	1	0	1	2	9
Madame Bovary_17.txt	Flaubert	0.024464831804281346	0.04357798165137615	0	0	0.009938837920489297	0	0.00382262996941896	0	0	0	0	0	0.020073956682514528	85.89473684210526	1128	100	35	14	14	12	17	16	21	13	13	4	5	6	12	6	7	5	9	3	4	4	0	2	11	5	3	9	3	2	9	6	2	8	5	3	7	2	1	3	1	0	1	1	8	1	0	2	0	1
The Game of Log_5.txt	Carroll	0.016129032258064516	0.02915632754342432	0.0006203473945409429	0.0024813895781637717	0.0018610421836228288	0	0	0.0024813895781637717	0	0.005583126550868486	0	0	0.018442622950819672	120.29629629629629	814	82	46	15	8	11	18	20	3	16	5	28	2	0	5	0	0	1	6	3	3	4	0	1	0	6	2	1	0	0	0	1	5	0	1	3	0	1	0	2	1	6	5	1	6	12	0	0	2	15
Bouvard and Péc_17.txt	Flaubert	0.02839396628216504	0.037267080745341616	0.00354924578527063	0.001774622892635315	0.001774622892635315	0	0.005323868677905945	0	0	0	0	0	0.025184275184275184	74.26829268292683	956	92	29	17	10	17	19	10	18	8	2	18	3	7	4	9	9	2	6	3	4	1	0	1	7	2	2	4	0	3	4	4	1	3	1	3	5	12	2	1	0	3	0	3	3	1	0	5	0	0
David Copperfie_14.txt	Dickens	0.020795660036166366	0.039783001808318265	0.006329113924050633	0.0009041591320072332	0.009041591320072333	0	0.007233273056057866	0	0	0.0018083182640144665	0	0	0.02648171500630517	64.97619047619048	908	70	17	21	68	9	13	6	10	4	16	2	7	1	11	9	0	5	7	4	10	2	0	5	6	5	1	1	10	7	6	2	2	9	2	3	1	1	4	3	1	1	4	1	3	0	0	5	1	0
The Tragedie of_1.txt	Shakespeare	0.013657056145675266	0.03490136570561457	0.0007587253414264037	0.025796661608497723	0.0007587253414264037	0	0	0	0	0.004552352048558422	0	0	0.012163892445582587	163.42105263157896	850	94	26	18	26	21	12	8	7	7	4	0	8	4	6	3	4	1	5	4	3	5	0	6	0	2	3	3	1	1	1	2	9	0	1	0	1	0	2	10	5	5	0	1	0	2	0	0	0	0
Flower Fables_10.txt	Alcott	0.014423076923076924	0.046153846153846156	0	0	0.0028846153846153848	0	0	0	0	0	0	0	0.009708737864077669	193.33333333333334	920	98	37	35	2	4	12	10	3	10	0	0	4	2	1	4	6	0	9	5	3	0	0	0	0	1	1	7	0	1	1	1	0	3	4	0	5	12	0	3	3	0	0	0	0	0	0	3	2	0
Madame Bovary_14.txt	Flaubert	0.023029229406554472	0.03454384410983171	0	0	0.002657218777679362	0	0	0	0	0	0	0	0.015503875968992248	114.57692307692308	1008	90	44	9	0	29	11	16	22	12	0	4	8	2	4	15	2	1	7	4	4	0	0	1	14	0	5	5	0	0	9	4	1	11	2	1	0	5	0	3	1	3	0	5	2	1	0	5	0	1
The Stormor_8.txt	Defoe	0.012552301255230125	0.027615062761506277	0	0.0016736401673640166	0.008368200836820083	0	0	0	0.0008368200836820083	0.0008368200836820083	0	0	0.012322858903265557	151.3	1010	26	29	12	12	24	10	0	9	13	12	0	8	1	9	4	2	2	6	1	7	0	0	4	0	3	7	4	5	0	3	5	2	0	2	3	0	1	3	1	2	5	2	5	0	2	0	1	1	2
Ethan Frome_0.txt	Wharton	0.018885741265344664	0.02644003777148253	0	0.0028328611898017	0.0018885741265344666	0	0	0	0	0	0	0	0.012698412698412698	136.7	936	80	48	20	22	19	13	2	15	9	11	10	3	4	3	4	5	1	2	5	2	0	0	2	0	2	0	3	4	11	6	3	5	0	0	1	4	0	6	1	0	3	4	2	1	1	0	1	2	0
Sanctuary_4.txt	Wharton	0.01893939393939394	0.015151515151515152	0.000946969696969697	0.003787878787878788	0.006628787878787879	0	0	0	0	0	0	0	0.015209125475285171	118.5	958	84	20	6	4	22	26	6	10	10	0	0	8	4	7	9	5	0	4	4	6	0	0	9	10	2	5	17	0	2	5	3	2	27	1	1	5	1	0	4	3	2	0	4	1	4	0	2	0	0
Romola_9.txt	Eliot	0.015100671140939598	0.037751677852348994	0.0050335570469798654	0	0.0041946308724832215	0	0.0050335570469798654	0	0	0	0	0	0.01757469244288225	100.6	996	78	19	11	28	13	13	8	19	7	14	28	8	4	6	4	6	7	7	5	7	4	0	1	4	3	6	5	1	4	2	6	10	2	1	1	2	0	1	4	2	0	0	3	1	0	0	0	3	1
Through the Loo_4.txt	Carroll	0.014049586776859505	0.03636363636363636	0.001652892561983471	0.0008264462809917355	0	0	0.0049586776859504135	0	0	0.001652892561983471	0	0	0.014148273910582909	120.04	982	88	27	23	54	10	20	46	10	7	10	6	4	0	15	13	0	11	1	6	6	2	0	6	3	6	1	1	1	4	3	5	4	16	3	1	0	4	2	1	4	0	2	0	4	4	0	0	1	3
When God Laughs_9.txt	London	0.028944911297852476	0.03081232492997199	0	0	0.0018674136321195146	0	0	0	0	0	0	0	0.019720101781170483	88.41935483870968	956	82	28	16	0	16	10	6	11	11	0	4	4	33	8	12	17	0	4	4	4	0	0	2	1	2	3	18	0	0	8	7	2	3	1	3	7	0	0	1	1	2	0	1	5	1	0	0	0	0
Phaedrus_7.txt	Plato	0.013686911890504704	0.02566295979469632	0.003421727972626176	0.001710863986313088	0.00427715996578272	0	0	0	0	0.000855431993156544	0	0	0.011474469305794608	159.85	1058	94	43	20	2	28	16	6	15	15	0	0	8	6	8	1	3	0	3	3	3	22	0	2	1	7	8	1	0	1	2	3	2	0	1	2	0	2	0	5	2	17	4	4	0	3	0	4	9	6
The Strength of_6.txt	London	0.01981833195706028	0.03633360858794385	0	0	0.0008257638315441783	0	0	0	0	0	0	0	0.013377926421404682	141.875	1058	102	21	28	0	16	16	24	19	12	0	0	6	40	7	18	10	0	4	4	6	0	0	5	0	4	3	8	0	0	5	4	2	0	1	1	3	0	0	2	3	1	0	1	3	2	0	1	1	0
The Judge_19.txt	West	0.011111111111111112	0.020370370370370372	0	0.000925925925925926	0.006481481481481481	0	0	0	0	0.000925925925925926	0	0	0.006756756756756757	271.45454545454544	966	90	31	22	8	21	15	10	10	6	5	10	11	0	4	5	0	0	6	8	7	0	0	4	22	4	2	11	0	3	0	4	5	10	4	0	0	2	0	9	1	1	1	2	1	0	0	4	0	0
Cratylus_1.txt	Plato	0.012418075198344257	0.04242842359434288	0.002069679199724043	0.0013797861331493618	0.009658502932045532	0	0	0	0	0.004139358399448086	0	0	0.009785202863961813	183.6829268292683	2480	214	118	52	44	56	26	34	30	19	15	0	13	10	1	4	13	8	6	12	8	29	0	13	0	26	11	3	6	6	7	2	9	0	4	8	7	11	2	8	4	17	5	9	3	4	0	2	22	12
A Tale of Two C_9.txt	Dickens	0.02608695652173913	0.04173913043478261	0.0017391304347826088	0.0017391304347826088	0.004347826086956522	0	0.0052173913043478265	0	0	0.0008695652173913044	0	0	0.02386780905752754	75.0	954	76	19	12	14	15	16	22	8	8	10	22	11	8	6	7	6	16	3	4	3	3	0	3	6	6	1	10	1	5	3	1	5	6	0	3	2	2	4	1	7	2	2	1	1	3	0	1	3	2
The New Hudson_14.txt	Shakespeare	0.015544041450777202	0.03626943005181347	0	0.0012953367875647669	0.007124352331606218	0	0.0006476683937823834	0	0	0	0	0	0.011337868480725623	161.36	1336	114	46	33	8	36	20	2	15	12	1	8	11	23	4	1	23	0	15	4	10	13	0	9	1	6	4	0	0	3	4	5	2	0	4	1	14	0	0	1	6	5	0	2	0	3	0	0	1	2
Alices Adventu_13.txt	Carroll	0.017994858611825194	0.030848329048843187	0.004284490145672665	0.004284490145672665	0.005141388174807198	0	0.004284490145672665	0	0	0.000856898029134533	0	0	0.019218846869187848	91.03225806451613	948	70	24	15	16	14	21	4	15	7	5	34	5	0	21	12	0	7	1	2	8	4	0	3	10	6	2	3	1	1	5	0	3	17	2	0	0	1	0	1	5	5	0	1	3	1	0	2	2	1
When We Dead Aw_14.txt	Ibsen	0.0645446507515473	0.019451812555260833	0.01237842617152962	0	0.0017683465959328027	0	0.0017683465959328027	0	0	0	0	0	0.05534825870646766	30.651685393258425	858	148	9	4	14	9	13	24	10	9	19	0	13	0	9	6	1	22	2	5	2	4	0	9	5	1	1	3	2	2	5	2	4	4	2	6	3	0	7	2	3	0	0	1	4	5	0	2	0	2
Pictures from I_15.txt	Dickens	0.01514059120403749	0.043258832011535686	0	0.0007209805335255948	0.009372746935832732	0	0.0007209805335255948	0	0	0.0021629416005767843	0	0	0.011322696860524962	169.4090909090909	1164	112	38	35	0	23	12	12	15	16	2	0	7	0	7	0	0	4	4	4	7	9	0	1	0	4	1	0	1	0	5	0	1	0	3	0	0	6	0	4	1	3	0	5	1	1	0	0	5	16
