article name	author	% '.'	% ','	% '?'	% ':'	% ';'	% ' '	% '!'	% '-'	% '_'	% '('	% '"'	% '/'	sentences-to-words ratio	avg. sentence length	%" "	%"\n"	%"the"	%"and"	%"'"	%"of"	%"to"	%"-"	%"a"	%"in"	%"i"	%"""	%"that"	%"he"	%"it"	%"wa"	%"hi"	%"you"	%"with"	%"for"	%"as"	%"is"	%"+"	%"but"	%"her"	%"be"	%"not"	%"had"	%"my"	%"s"	%"at"	%"on"	%"thi"	%"she"	%"all"	%"have"	%"him"	%"they"	%"me"	%"by"	%"so"	%"which"	%"we"	%"from"	%"one"	%"no"	%""	%"were"	%"or"	%"are"
Sketches by Boz_14.txt	Dickens	0.018578352180936994	0.035541195476575124	0.0008077544426494346	0.0008077544426494346	0.008077544426494346	0	0	0	0	0.0016155088852988692	0	0	0.014975041597337771	132.8148148148148	1072	106	50	18	6	21	17	14	14	6	0	0	6	5	11	8	2	0	6	3	2	8	0	2	0	7	4	2	0	2	4	7	1	0	1	4	0	5	0	3	0	4	4	4	4	1	0	2	2	5
A Son Of The Su_9.txt	London	0.04043126684636118	0.03234501347708895	0.0026954177897574125	0	0.0008984725965858042	0	0	0	0.0008984725965858042	0	0	0	0.030883261272390366	55.48	916	76	27	17	52	10	13	20	24	10	21	16	3	10	7	11	7	11	1	7	1	1	0	1	3	3	2	1	2	3	2	4	1	2	1	2	3	0	5	1	0	0	0	3	2	1	0	0	0	1
An Ideal Husban_18.txt	Wilde	0.05191489361702128	0.023829787234042554	0.00425531914893617	0	0	0	0.000851063829787234	0	0	0	0	0	0.04539800995024876	38.43835616438356	934	100	11	8	10	9	10	4	19	14	18	0	5	2	9	1	3	2	4	1	8	16	0	3	6	5	7	1	4	2	5	2	1	10	1	6	1	1	1	0	1	0	0	1	3	0	0	0	0	1
Romola_16.txt	Eliot	0.012903225806451613	0.035842293906810034	0	0.0007168458781362007	0.0064516129032258064	0	0.0014336917562724014	0	0	0	0	0	0.009896091044037604	187.25	1210	104	28	17	6	28	16	10	28	6	12	18	14	2	8	1	6	9	6	6	7	14	0	4	0	3	10	2	3	3	2	1	3	0	1	10	0	2	5	2	5	5	3	5	1	4	0	1	3	4
Lost Face_5.txt	London	0.026905829596412557	0.034080717488789235	0.0017937219730941704	0.0008968609865470852	0.0053811659192825115	0	0.0008968609865470852	0	0	0	0	0	0.020793950850661626	86.63636363636364	944	78	48	19	16	13	19	6	9	8	1	14	5	14	2	8	7	4	3	1	0	0	0	4	0	2	3	2	0	4	9	9	0	0	1	0	8	3	0	1	0	0	1	2	0	0	0	0	0	0
Intentions_14.txt	Wilde	0.016371971185330715	0.04387688277668631	0	0.0013097576948264572	0.0013097576948264572	0	0	0	0	0	0	0	0.01126126126126126	167.2	1302	120	33	29	0	36	27	20	18	8	2	0	7	23	5	10	14	0	4	4	6	2	0	3	2	2	2	5	1	3	5	7	4	0	1	9	9	0	0	5	3	3	2	4	2	1	6	6	2	0
Memoirs of a Ca_13.txt	Defoe	0.011661807580174927	0.037900874635568516	0	0	0.0029154518950437317	0	0	0	0	0	0	0	0.007858546168958742	222.41666666666666	930	84	41	13	4	28	20	0	7	8	13	0	4	3	8	6	0	0	3	9	6	0	0	6	0	0	6	6	0	2	1	3	5	0	3	0	4	9	3	3	3	7	7	3	1	3	0	4	0	1
A Portrait of t_6.txt	Joyce	0.03122043519394513	0.007568590350047304	0.001892147587511826	0.003784295175023652	0	0	0.003784295175023652	0	0	0	0	0	0.024714828897338403	69.58974358974359	956	84	40	21	6	14	6	6	13	7	0	0	9	21	9	13	7	5	4	2	1	2	0	3	1	5	3	5	0	3	4	4	0	0	0	0	8	5	0	4	1	0	1	2	0	2	0	4	2	0
The NightBorn_8.txt	London	0.040627885503231764	0.027700831024930747	0.0018467220683287165	0.0009233610341643582	0.0009233610341643582	0	0	0	0	0	0	0	0.030183727034120734	56.43478260869565	896	64	38	17	4	7	7	10	12	5	7	42	9	23	14	8	8	2	8	0	1	13	0	5	0	5	6	2	1	2	3	1	2	0	1	0	8	0	0	2	2	0	2	1	2	4	0	2	0	0
Pillars of Soci_19.txt	Ibsen	0.02110091743119266	0.03394495412844037	0.011009174311926606	0.015596330275229359	0.005504587155963303	0	0.001834862385321101	0	0	0.0009174311926605505	0	0	0.02385557704706641	68.32432432432432	928	90	9	15	6	6	17	6	8	4	24	2	12	0	8	7	0	15	5	4	7	4	0	6	6	3	5	4	7	0	1	5	1	12	1	3	0	0	10	0	6	0	3	1	0	6	0	1	0	0
Timon of Athens_14.txt	Shakespeare	0.018570102135561744	0.052924791086350974	0.005571030640668524	0.008356545961002786	0.003714020427112349	0	0	0	0	0.002785515320334262	0	0	0.017555266579973992	101.07407407407408	872	114	18	17	22	5	17	6	6	9	4	0	5	6	5	0	10	5	6	2	4	9	0	7	0	6	4	1	7	2	2	0	2	0	2	0	1	1	1	1	2	3	0	1	2	1	0	1	0	2
Symbolic Logic_19.txt	Carroll	0.027482823235477825	0.022485946283572766	0	0.0006246096189881324	0.004372267332916927	0	0	0.004996876951905059	0	0.009369144284821987	0	0	0.027123483226266953	77.26315789473684	782	42	30	9	2	3	6	12	2	16	0	76	8	0	6	0	0	0	0	3	1	10	0	0	0	9	3	0	0	0	0	0	7	0	2	0	0	0	0	4	2	0	9	0	1	15	0	1	1	31
Following the E_16.txt	Twain	0.021305841924398626	0.03161512027491409	0.0006872852233676976	0.0006872852233676976	0.003436426116838488	0	0	0	0	0	0	0	0.016144349477682812	107.02941176470588	1248	106	30	34	8	16	16	42	23	11	2	0	12	29	24	8	5	1	3	2	3	15	0	5	0	2	6	1	0	4	3	5	2	0	4	5	4	1	1	0	2	1	1	3	2	6	0	1	7	4
Mudfog and Othe_0.txt	Dickens	0.009009009009009009	0.04804804804804805	0	0.0015015015015015015	0.0045045045045045045	0	0.0015015015015015015	0	0	0.0007507507507507507	0	0	0.008093070308548306	230.25	1178	108	49	23	0	22	26	26	21	9	0	0	4	2	3	8	8	0	14	2	5	1	0	7	0	4	4	4	0	1	4	11	3	0	4	5	1	7	0	3	2	5	5	1	6	2	2	4	7	2
Eight Cousins_2.txt	Alcott	0.019691780821917807	0.04195205479452055	0.0025684931506849314	0	0.0008561643835616438	0	0.003424657534246575	0	0	0	0	0	0.018061408789885613	93.93333333333334	984	68	26	24	24	10	11	4	18	7	6	28	6	0	9	10	2	9	2	7	6	2	0	4	14	2	4	4	2	2	4	2	1	8	4	1	0	1	1	2	8	0	13	0	1	2	0	2	2	1
Adam Bede_3.txt	Eliot	0.011131725417439703	0.045454545454545456	0.0027829313543599257	0	0.0009276437847866419	0	0.0009276437847866419	0	0	0	0	0	0.010081915563957152	177.9375	912	82	26	13	38	23	13	14	10	5	6	12	3	1	2	8	5	0	7	0	8	1	0	2	8	2	1	7	0	12	1	1	2	2	0	0	3	4	1	8	0	5	0	2	1	0	0	1	1	2
A Daughter of t_16.txt	London	0.03826086956521739	0.030434782608695653	0.008695652173913044	0	0.0008695652173913044	0	0.004347826086956522	0	0	0	0	0	0.03748411689961881	45.220338983050844	884	72	25	18	26	10	15	18	6	7	18	50	2	11	9	9	4	13	2	6	4	2	0	4	7	2	8	6	2	2	5	7	0	8	2	1	1	0	4	4	4	0	0	0	0	1	0	2	0	0
Emma_18.txt	Austen	0.024734982332155476	0.027385159010600707	0.0008833922261484099	0	0.007067137809187279	0	0.007950530035335688	0	0	0	0	0	0.02670807453416149	65.67441860465117	942	74	29	11	2	15	10	28	12	10	8	28	5	6	17	8	1	7	4	2	4	9	0	6	6	10	12	1	5	1	2	4	0	9	1	3	2	0	1	1	4	2	1	1	2	3	0	1	0	1
In Morocco_4.txt	Wharton	0.014124293785310734	0.031073446327683617	0	0.0018832391713747645	0.003766478342749529	0	0	0	0	0	0	0	0.009299442033477991	212.93333333333334	938	98	49	15	4	28	13	28	7	6	0	4	5	1	15	4	3	0	4	6	2	5	0	2	0	2	4	4	0	2	0	4	1	0	1	2	2	1	0	4	3	3	0	3	3	2	0	0	2	2
The Life and Ad_14.txt	Defoe	0.00929368029739777	0.04894671623296159	0	0.0012391573729863693	0.010532837670384139	0	0.0006195786864931846	0	0	0	0	0	0.006881720430107527	248.75	1418	116	48	37	2	21	21	2	13	11	26	12	14	8	10	8	5	1	7	10	3	0	0	10	0	3	5	9	4	1	4	5	4	0	0	5	11	2	5	6	4	5	7	1	4	2	0	5	4	0
The Letters of_4.txt	Austen	0.020766773162939296	0.029552715654952075	0	0	0.001597444089456869	0	0.0007987220447284345	0	0	0.0007987220447284345	0	0	0.017754868270332187	99.41935483870968	1044	96	10	24	8	13	24	8	12	6	14	2	4	3	3	5	1	3	4	6	4	10	0	8	3	2	6	7	12	4	5	6	0	7	2	7	2	1	3	2	2	4	9	5	1	3	0	5	2	0
Felix Holt the_5.txt	Eliot	0.03130590339892665	0.028622540250447227	0.0008944543828264759	0.0008944543828264759	0.0035778175313059034	0	0.0026833631484794273	0	0	0.0008944543828264759	0	0	0.02527743526510481	65.5609756097561	942	64	23	11	34	7	22	14	19	7	22	26	6	6	5	3	5	9	1	7	5	8	0	2	1	7	5	5	3	8	1	7	0	1	2	4	0	1	2	0	0	1	2	1	0	2	0	1	1	3
The Faith of Me_2.txt	London	0.02214022140221402	0.03966789667896679	0.0018450184501845018	0.0018450184501845018	0.0009225092250922509	0	0.0018450184501845018	0	0	0	0	0	0.018205461638491547	94.53571428571429	912	78	41	35	14	21	8	10	7	8	15	12	5	6	2	5	3	1	3	3	1	3	0	4	1	4	5	5	2	1	1	3	5	1	0	10	3	0	4	2	3	3	10	2	0	1	0	0	0	0
Pride and Preju_6.txt	Austen	0.018198362147406732	0.040036396724294813	0.003639672429481347	0.00272975432211101	0.006369426751592357	0	0.0009099181073703367	0	0	0	0	0	0.01983365323096609	92.35483870967742	940	76	20	17	0	18	15	2	12	9	10	24	5	4	8	9	3	10	5	4	2	4	0	2	7	3	7	7	1	0	8	1	2	5	2	4	0	0	2	4	2	2	0	1	3	2	0	0	2	2
The Winters Ta_16.txt	Shakespeare	0.022935779816513763	0.04259501965923984	0.000655307994757536	0.01310615989515072	0.009174311926605505	0	0.001965923984272608	0	0	0.000655307994757536	0	0	0.0190623390005152	90.29729729729729	1062	168	22	17	46	16	14	10	8	6	26	0	4	1	4	2	0	6	4	10	1	4	0	2	4	13	5	0	10	2	2	2	13	2	1	6	0	1	6	2	8	1	2	1	2	3	0	0	1	3
The Merry Wives_6.txt	Shakespeare	0.04764930114358323	0.026683608640406607	0.008259212198221092	0.023506988564167726	0.0063532401524777635	0	0.0025412960609911056	0	0	0.0012706480304955528	0	0	0.047248182762201454	35.9010989010989	1098	80	7	8	18	9	6	30	5	7	24	0	8	0	3	0	1	5	2	6	3	5	0	6	3	1	4	1	4	10	0	1	1	3	1	7	1	0	4	2	0	0	3	0	1	1	0	0	0	0
Roughing It_1.txt	Twain	0.020711974110032363	0.02912621359223301	0	0	0.003236245954692557	0	0.0006472491909385113	0	0	0	0	0	0.01699346405228758	103.7948717948718	1352	114	25	38	0	19	23	50	26	12	12	0	12	2	13	16	0	1	4	9	5	1	0	7	0	2	7	8	3	2	5	7	0	8	6	1	1	0	1	1	3	5	16	3	6	6	4	4	4	0
The Stormor_17.txt	Defoe	0.009569377990430622	0.044976076555023926	0	0.0028708133971291866	0.0019138755980861245	0	0	0	0	0.0009569377990430622	0	0	0.007152145643693108	264.27272727272725	918	82	30	21	14	27	6	8	11	17	2	0	11	0	2	4	2	0	6	3	9	2	0	3	0	1	4	3	0	2	4	0	4	0	1	3	2	0	0	6	4	6	4	4	1	1	0	3	4	3
The Life and Mo_7.txt	Defoe	0.015113350125944584	0.05037783375314862	0	0.0016792611251049538	0.0041981528127623844	0	0	0	0	0	0	0	0.010416666666666666	163.27777777777777	1060	84	28	21	8	21	16	0	19	7	32	0	3	0	5	2	0	0	10	5	5	0	0	5	0	1	4	9	9	4	1	5	3	0	2	1	0	1	1	2	1	7	1	1	1	1	0	3	5	0
Love of Life a_7.txt	London	0.03568464730290456	0.021576763485477178	0.0008298755186721991	0	0.0033195020746887966	0	0	0	0	0	0	0	0.026020106445890007	69.13636363636364	1006	78	39	18	22	15	5	22	15	4	5	0	8	21	13	17	15	1	13	2	3	0	0	4	0	0	3	1	1	5	5	2	0	0	1	0	4	7	0	3	1	1	0	3	0	0	0	3	0	0
The Uncommercia_9.txt	Dickens	0.013023255813953489	0.046511627906976744	0.0018604651162790699	0	0.0037209302325581397	0	0.011162790697674419	0	0	0.0018604651162790699	0	0	0.012461059190031152	142.75	902	74	26	22	0	7	11	0	26	12	7	0	8	1	9	8	0	4	6	4	4	5	0	3	4	4	1	5	2	6	3	3	6	0	0	3	0	2	1	2	0	1	4	0	6	1	46	2	2	0
Some Christmas_16.txt	Dickens	0.01661392405063291	0.06566455696202532	0.0007911392405063291	0.0015822784810126582	0.0031645569620253164	0	0.005537974683544304	0	0	0	0	0	0.011986301369863013	145.04761904761904	1050	92	46	43	0	8	20	0	5	2	13	0	5	9	4	13	7	3	6	2	0	1	0	3	1	2	2	4	3	0	5	6	1	1	6	0	5	12	1	1	7	0	1	0	2	2	0	4	0	0
The Battle of L_14.txt	Dickens	0.016901408450704224	0.04929577464788732	0.002112676056338028	0.0028169014084507044	0.004929577464788733	0	0.002112676056338028	0	0	0.0035211267605633804	0	0	0.016898608349900597	103.1470588235294	1172	94	21	28	18	12	17	24	9	14	18	24	13	9	12	2	8	11	5	5	7	10	0	5	4	7	6	1	11	3	2	3	4	5	2	1	6	1	3	4	5	3	0	4	4	4	0	0	3	2
The Brothers Ka_18.txt	Dostoyevsky	0.027762656505171474	0.05389221556886228	0.002177463255307567	0.0005443658138268917	0.0005443658138268917	0	0.0027218290691344584	0	0	0.0005443658138268917	0	0	0.02304147465437788	78.28333333333333	1526	126	35	31	54	26	14	10	29	10	28	18	9	17	10	12	10	10	13	5	6	4	0	6	1	4	9	6	4	6	10	6	0	0	4	2	6	0	4	1	4	4	3	1	6	2	0	6	0	3
Ghosts_10.txt	Ibsen	0.04375	0.023214285714285715	0.009821428571428571	0	0.005357142857142857	0	0.0125	0	0	0	0	0	0.048427672955974846	36.87012987012987	916	104	12	10	12	15	15	16	13	9	11	2	11	0	4	1	8	9	7	2	2	3	0	5	0	3	2	2	1	4	0	2	0	0	5	12	1	12	3	1	0	1	1	2	3	4	0	0	4	6
The Iliad_4.txt	Homer	0.016840417000801924	0.03688853247794707	0	0.0016038492381716118	0.006415396952686447	0	0	0	0	0	0	0	0.011513157894736841	151.61904761904762	1106	92	37	23	2	25	21	8	6	12	2	8	10	10	11	1	6	0	5	3	4	7	0	6	0	4	3	2	2	1	3	1	3	0	4	8	1	5	5	3	3	0	6	5	1	1	0	1	0	2
Memoirs of a Ca_9.txt	Defoe	0.01217391304347826	0.04608695652173913	0	0	0.004347826086956522	0	0	0	0	0	0	0	0.008187134502923977	226.5	1024	100	60	22	4	17	16	10	5	13	8	0	9	7	5	14	7	0	7	2	4	0	0	8	2	3	4	5	1	2	6	3	2	6	6	6	1	3	0	0	1	2	1	1	0	3	0	6	0	0
Roughing It_9.txt	Twain	0.010558069381598794	0.03996983408748114	0	0	0.004524886877828055	0	0.0007541478129713424	0	0	0.0007541478129713424	0	0	0.0070921985815602835	260.2857142857143	1166	104	57	38	0	19	8	32	21	12	0	0	5	9	13	7	13	0	6	8	8	0	0	5	0	3	2	3	0	4	4	6	0	0	3	0	1	8	1	3	2	1	8	3	3	0	10	3	3	0
Symbolic Logic_13.txt	Carroll	0.020119225037257823	0.03353204172876304	0.0022354694485842027	0	0.0037257824143070045	0	0	0	0.0007451564828614009	0.005961251862891207	0	0	0.018518518518518517	109.58620689655173	920	56	33	7	0	31	20	2	8	9	4	50	20	0	6	0	0	0	5	0	11	18	0	2	0	12	0	0	1	0	2	0	3	0	3	2	0	0	0	6	0	2	8	0	0	2	0	0	1	26
Northanger Abbe_2.txt	Austen	0.017747440273037544	0.03754266211604096	0.0020477815699658703	0	0.013651877133105802	0	0	0	0	0	0	0	0.017857142857142856	96.10810810810811	1234	92	15	17	10	19	17	4	24	13	19	42	7	6	17	8	2	9	2	10	7	9	0	9	4	16	9	5	4	5	3	4	1	10	0	3	3	2	2	3	9	0	4	1	3	2	0	0	6	4
The Age of Inno_5.txt	Wharton	0.012612612612612612	0.02702702702702703	0	0	0.0045045045045045045	0	0	0	0	0.0018018018018018018	0	0	0.011911852293031567	154.15	984	96	34	19	8	25	14	24	16	14	3	4	5	2	2	8	1	0	7	3	16	0	0	1	18	2	2	5	0	4	0	6	1	8	1	2	0	0	0	5	0	5	0	3	2	1	0	3	0	0
The Brothers Ka_19.txt	Dostoyevsky	0.029605263157894735	0.04473684210526316	0.001973684210526316	0	0.0006578947368421052	0	0.0013157894736842105	0	0	0	0	0	0.022354014598540146	80.28571428571429	1296	112	34	21	42	15	17	2	8	13	28	10	12	10	12	11	10	11	9	5	8	4	0	8	0	4	3	8	4	6	3	8	2	0	4	5	3	2	4	1	3	1	0	3	4	4	0	2	3	1
Loves Labours_10.txt	Shakespeare	0.03321364452423698	0.06822262118491922	0.0017953321364452424	0.005385996409335727	0.012567324955116697	0	0.012567324955116697	0	0	0	0	0	0.033083645443196	53.0	862	156	16	19	24	15	14	18	23	6	18	0	9	1	9	3	4	2	2	6	0	7	0	3	11	5	3	0	5	4	0	1	7	0	3	3	1	2	0	1	2	1	3	0	1	1	0	1	0	0
Romola_12.txt	Eliot	0.014427412082957619	0.03787195671776375	0.0009017132551848512	0.0036068530207394047	0.0036068530207394047	0	0.0009017132551848512	0	0	0	0	0	0.010539367637941723	168.88235294117646	958	80	38	17	4	26	10	20	16	8	6	14	4	2	7	3	6	10	7	0	5	4	0	7	0	0	6	2	5	2	3	3	5	1	2	3	1	2	0	0	0	4	1	2	2	2	0	2	1	4
The Reef_15.txt	Wharton	0.015128593040847202	0.019667170953101363	0	0.0007564296520423601	0.0045385779122541605	0	0.0007564296520423601	0	0	0	0	0	0.010574018126888218	177.33333333333334	1188	104	41	23	10	26	19	8	11	16	0	14	10	12	10	10	7	0	7	1	8	1	0	2	29	5	4	6	0	4	5	10	0	15	2	3	5	0	1	5	1	5	0	3	1	0	0	2	2	0
The 30000 Beq_0.txt	Twain	0.02408563782337199	0.024977698483496878	0.0044603033006244425	0.0008920606601248885	0.006244424620874219	0	0.006244424620874219	0	0	0	0	0	0.02556299452221546	68.26190476190476	962	82	32	20	22	8	13	16	20	6	3	14	6	3	15	16	1	4	1	9	0	0	0	4	5	2	6	10	1	7	4	7	0	6	2	5	2	6	0	1	1	1	2	3	1	0	0	2	2	1
The SeaWolf_4.txt	London	0.025170068027210883	0.04353741496598639	0.004081632653061225	0	0.0027210884353741495	0	0.0013605442176870747	0	0	0	0	0	0.02127659574468085	85.57777777777778	1218	110	49	28	24	28	13	30	24	10	7	28	11	5	3	10	11	9	10	0	7	0	0	3	0	3	4	4	3	3	5	2	3	0	0	1	3	1	2	3	1	3	2	3	4	3	0	3	5	0
Military Memoir_9.txt	Defoe	0.014394580863674851	0.056731583403895	0	0.000846740050804403	0.006773920406435224	0	0	0	0.000846740050804403	0	0	0	0.009753298909925417	189.94117647058823	1020	96	26	13	40	18	13	2	13	9	4	0	7	0	4	8	3	1	5	3	10	3	0	1	0	4	4	7	0	0	4	6	2	0	4	5	0	3	0	2	1	8	9	1	4	2	0	5	7	1
The Odyssey of_11.txt	Homer	0.011935782129948726	0.044885265192905775	0.00042027401866016645	0	0.004959233420189964	0	0.0016810960746406658	0	0	0.0005043288223921998	0	0	0.012934706839129425	153.22754491017963	8128	2	259	142	364	86	82	94	41	44	61	2	26	9	19	4	21	1	61	23	18	13	0	42	23	6	21	14	56	17	23	26	31	20	48	7	2	24	25	39	9	13	31	27	4	11	0	3	14	5
Coriolanus_1.txt	Shakespeare	0.024179620034542316	0.039723661485319514	0.0008635578583765112	0.008635578583765112	0.0034542314335060447	0	0	0	0	0.0025906735751295338	0	0	0.017931858936043037	97.26666666666667	964	108	10	10	22	5	16	8	12	13	14	0	4	8	4	7	7	11	3	4	1	1	0	4	1	0	6	5	7	1	1	2	0	0	4	0	6	3	4	3	0	2	5	4	4	2	0	4	3	1
The Vikings of_18.txt	Ibsen	0.03418803418803419	0.02564102564102564	0.005982905982905983	0	0.011111111111111112	0	0.017948717948717947	0	0	0.011111111111111112	0	0	0.043059125964010285	40.492537313432834	922	58	17	19	10	3	12	22	4	8	16	0	7	4	6	1	2	0	5	4	4	9	0	6	1	2	3	0	2	3	1	2	11	1	7	3	2	1	13	4	2	0	2	1	0	5	0	0	0	1
Romola_15.txt	Eliot	0.01588785046728972	0.03177570093457944	0.0009345794392523365	0.004672897196261682	0.005607476635514018	0	0.002803738317757009	0	0	0.001869158878504673	0	0	0.013029315960912053	137.55	914	80	36	11	8	20	11	8	22	7	10	8	8	6	5	2	4	10	3	7	5	12	0	1	0	3	2	2	4	4	6	6	0	0	1	2	2	1	1	2	0	1	1	2	0	2	0	0	2	1
Miscellaneous A_14.txt	Wilde	0.03018500486854917	0.02044790652385589	0.0029211295034079843	0	0	0	0.0009737098344693282	0	0	0	0	0	0.0228310502283105	78.37142857142857	926	90	33	12	0	25	15	6	12	10	4	0	12	3	14	0	5	1	3	4	4	19	0	2	0	4	6	1	0	0	0	1	0	0	2	6	1	2	0	4	4	5	6	1	2	1	0	0	2	8
Notes from the_14.txt	Dostoyevsky	0.018584070796460177	0.030973451327433628	0	0	0.0035398230088495575	0	0.002654867256637168	0	0	0.002654867256637168	0	0	0.014492753623188406	121.0	974	90	25	18	10	17	14	22	16	13	25	2	5	4	3	11	3	3	6	2	3	1	0	10	0	2	9	6	6	1	2	0	1	0	3	9	0	5	14	3	1	0	0	4	4	1	0	3	2	0
The Fruit of th_19.txt	Wharton	0.02374893977947413	0.029686174724342665	0.008481764206955046	0.004240882103477523	0.0033927056827820186	0	0.0016963528413910093	0	0	0	0	0	0.025323910482921083	70.93023255813954	982	86	39	19	26	21	11	10	16	5	1	28	3	16	10	8	16	0	4	3	1	2	0	5	8	1	2	4	0	10	4	4	2	3	1	1	1	1	0	0	1	1	1	3	1	0	0	2	0	1
Parmenides_17.txt	Plato	0.013577732518669382	0.019687712152070606	0.002036659877800407	0	0.008146639511201629	0	0	0	0	0.0006788866259334691	0	0	0.010502283105022832	173.6086956521739	1324	116	48	21	12	37	15	6	17	16	0	0	15	7	0	0	4	0	5	3	4	22	0	7	0	6	13	0	0	0	1	2	0	0	1	5	5	4	0	3	2	16	32	9	2	1	0	0	15	12
Poor Folk_9.txt	Dostoyevsky	0.014208389715832206	0.04330175913396482	0.0006765899864682003	0	0.0013531799729364006	0	0	0	0	0.0013531799729364006	0	0	0.010171058714748035	178.63636363636363	1292	114	47	26	10	20	31	14	16	14	2	6	10	24	1	13	31	0	5	9	7	0	0	2	1	7	7	5	0	5	3	8	1	0	0	2	9	0	1	0	3	2	0	4	1	1	0	0	5	0
Tom Sawyer Abro_9.txt	Twain	0.01553556827473426	0.044153720359771054	0.0008176614881439084	0.001635322976287817	0.005723630417007359	0	0	0	0	0	0	0	0.01174496644295302	144.38095238095238	1050	90	28	54	30	6	11	8	12	9	3	14	9	10	10	15	4	2	1	4	2	0	0	4	5	1	0	5	0	5	1	3	1	3	2	1	5	0	2	1	5	2	16	2	0	3	0	0	1	0
Selected Prose_0.txt	Wilde	0.029143897996357013	0.03825136612021858	0.00273224043715847	0	0	0	0	0	0	0	0	0	0.02256608639587363	81.17142857142858	946	82	24	19	0	17	15	6	8	6	2	0	10	0	10	1	0	2	1	3	0	12	0	3	2	5	7	1	0	0	2	6	2	7	1	5	0	4	0	0	4	0	7	4	4	2	0	1	1	5
Ghosts_9.txt	Ibsen	0.06187443130118289	0.029117379435850774	0.006369426751592357	0	0.004549590536851683	0	0.003639672429481347	0	0	0	0	0	0.0546975546975547	31.070588235294117	892	100	16	16	22	8	11	14	5	7	23	4	6	10	11	7	6	14	3	5	2	10	0	2	0	3	2	2	6	4	7	3	1	0	3	2	3	0	3	0	5	0	1	0	1	4	0	1	1	2
Notes to the Co_17.txt	Shelley	0.016544117647058824	0.024816176470588234	0	0.0009191176470588235	0.006433823529411764	0	0	0	0	0	0	0	0.012437810945273632	152.8	972	90	44	22	0	27	14	4	11	10	7	6	15	9	4	6	19	0	2	1	2	3	0	3	0	3	3	2	1	0	1	7	1	0	0	1	4	0	2	3	0	2	3	4	0	0	0	3	1	1
Great Expectati_9.txt	Dickens	0.017194570135746608	0.04524886877828054	0.0027149321266968325	0.0009049773755656109	0.0018099547511312218	0	0.0027149321266968325	0	0	0.0009049773755656109	0	0	0.020522388059701493	88.45454545454545	932	86	26	16	14	10	11	24	12	13	15	14	6	4	5	7	3	3	10	2	6	2	0	1	2	4	3	3	5	3	4	2	3	3	1	4	1	4	9	3	2	4	3	1	0	3	0	0	0	2
The King of Pir_9.txt	Defoe	0.0046210720887245845	0.053604436229205174	0	0.0027726432532347504	0.0036968576709796672	0	0	0	0	0.0009242144177449168	0	0	0.003787878787878788	461.8333333333333	962	80	27	22	12	22	14	0	7	8	2	0	11	5	1	7	1	0	6	5	4	0	0	3	0	9	4	4	0	1	4	0	1	0	9	2	1	4	0	2	7	8	21	1	1	1	0	3	4	0
Essays and Lect_1.txt	Wilde	0.01084010840108401	0.03523035230352303	0.0009033423667570009	0	0.0036133694670280035	0	0	0	0.0018066847335140017	0.0018066847335140017	0	0	0.0075046904315197	258.75	930	92	41	13	0	37	11	0	12	10	3	0	7	13	5	3	3	0	6	7	12	5	32	3	0	2	3	2	0	1	3	6	1	0	0	3	3	2	0	1	4	1	3	1	3	2	2	1	0	0
The Letters of_17.txt	Austen	0.023876404494382022	0.027387640449438203	0.0014044943820224719	0	0.004213483146067416	0	0	0	0	0.0007022471910112359	0	0	0.019796682718031033	88.94594594594595	1122	98	18	17	10	9	22	10	12	13	16	4	5	2	10	2	2	15	3	7	8	11	0	3	2	8	4	5	9	4	6	5	2	6	2	6	5	0	5	4	3	5	10	4	3	3	0	1	3	2
The Fortunes an_13.txt	Defoe	0.009442870632672332	0.044381491973559964	0	0.0009442870632672333	0.007554296506137866	0	0	0	0	0	0	0	0.007119741100323625	230.72727272727272	948	74	10	20	4	11	26	4	8	5	21	0	17	12	22	13	7	0	3	4	8	2	0	5	0	6	14	6	1	2	0	0	3	1	2	1	8	1	19	0	4	2	0	2	0	0	0	1	3	0
The Pickwick Pa_18.txt	Dickens	0.021164021164021163	0.039304610733182165	0.0030234315948601664	0	0.006046863189720333	0	0	0	0	0	0	0	0.023529411764705882	81.82608695652173	1132	100	33	21	44	13	19	28	9	7	9	0	6	8	6	10	16	7	11	2	1	0	0	1	0	4	3	8	2	2	3	2	5	0	0	3	1	4	2	8	2	5	3	2	0	2	0	6	1	1
The Faith of Me_16.txt	London	0.022518765638031693	0.030025020850708923	0.0008340283569641367	0	0.0025020850708924102	0	0.0016680567139282735	0	0	0	0	0	0.017271157167530225	98.4	1012	92	36	28	28	11	23	10	16	11	7	16	3	7	7	12	15	7	8	6	5	2	0	2	5	5	1	2	2	4	2	7	1	0	1	2	3	1	1	3	2	3	0	0	2	2	0	1	0	0
Notes from the_17.txt	Dostoyevsky	0.020512820512820513	0.03076923076923077	0.0013986013986013986	0.0009324009324009324	0.0032634032634032634	0	0.0013986013986013986	0	0	0.0004662004662004662	0	0	0.01614987080103359	108.22	1862	164	39	35	0	28	31	32	20	12	60	4	22	8	20	29	3	4	10	12	4	4	0	11	0	4	14	15	18	0	10	8	3	0	8	8	7	3	15	8	1	0	3	2	4	3	0	4	2	0
